iter	Passed	Remaining
541	24140	20398
542	24179	20349
543	24210	20294
544	24245	20241
545	24280	20189
546	24330	20149
547	24384	20112
548	24435	20073
549	24473	20023
550	24506	19969
551	24540	19916
552	24570	19860
553	24604	19808
554	24639	19755
555	24672	19702
556	24704	19648
557	24779	19628
558	24899	19643
559	24970	19620
560	25014	19574
561	25047	19521
562	25089	19474
563	25118	19418
564	25149	19363
565	25179	19307
566	25209	19251
567	25238	19195
568	25273	19143
569	25306	19090
570	25337	19036
571	25381	18991
572	25418	18941
573	25462	18897
574	25515	18859
575	25561	18816
576	25601	18768
577	25646	18724
578	25694	18682
579	25737	18637
580	25794	18602
581	25845	18562
582	25882	18512
583	25919	18463
584	25949	18408
585	25983	18356
586	26012	18302
587	26044	18248
588	26079	18198
589	26112	18146
590	26143	18092
591	26176	18040
592	26214	17992
593	26271	17956
594	26315	17912
595	26349	17861
596	26390	17814
597	26428	17766
598	26462	17715
599	26494	17662
600	26526	17610
601	26561	17560
602	26593	17508
603	26624	17455
604	26655	17402
605	26690	17353
606	26726	17303
607	26769	17259
608	26803	17208
609	26835	17157
610	26869	17106
611	26902	17055
612	26933	17003
613	26966	16952
614	26993	16898
615	27023	16845
616	27055	16794
617	27088	16743
618	27123	16694
619	27161	16647
620	27189	16594
621	27217	16540
622	27245	16487
623	27271	16432
624	27305	16383
625	27336	16331
626	27364	16278
627	27394	16227
628	27421	16173
629	27461	16128
630	27487	16074
631	27524	16027
632	27561	15979
633	27616	15942
634	27669	15904
635	27716	15863
636	27765	15822
637	27814	15781
638	27866	15743
639	27903	15695
640	27941	15648
641	27969	15596
642	28003	15547
643	28039	15500
644	28077	15453
645	28117	15407
646	28157	15362
647	28192	15314
648	28226	15265
649	28261	15217
650	28295	15169
651	28326	15119
652	28359	15069
653	28388	15018
654	28418	14968
655	28447	14917
656	28477	14867
657	28506	14816
658	28537	14766
659	28568	14717
660	28596	14666
661	28626	14615
662	28659	14567
663	28690	14518
664	28722	14469
665	28754	14420
666	28783	14370
667	28812	14320
668	28848	14273
669	28877	14223
670	28904	14172
671	28931	14121
672	28960	14071
673	28991	14022
674	29021	13973
675	29052	13924
676	29079	13874
677	29114	13827
678	29145	13778
679	29174	13729
680	29213	13684
681	29242	13635
682	29274	13587
683	29305	13538
684	29336	13490
685	29366	13441
686	29396	13393
687	29423	13343
688	29454	13295
689	29484	13246
690	29514	13198
691	29541	13148
692	29569	13099
693	29598	13050
694	29629	13002
695	29660	12955
696	29685	12904
697	29715	12857
698	29745	12809
699	29775	12760
700	29802	12711
701	29833	12664
702	29864	12616
703	29892	12568
704	29918	12519
705	29947	12471
706	29974	12422
707	30003	12374
708	30031	12326
709	30059	12277
710	30090	12230
711	30125	12185
712	30152	12137
713	30181	12089
714	30210	12041
715	30241	11995
716	30269	11947
717	30297	11899
718	30328	11853
719	30358	11806
